Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	MT074460
no rank_root|no rank_root	no rank_1|no rank_1	1.0002875216
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Demerecviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_2731690	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Demerecviridae|subfamily_Markadamsvirinae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_2731690|subfamily_2732013	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Demerecviridae|subfamily_Markadamsvirinae|genus_Epseptimavirus	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_2731690|subfamily_2732013|genus_2732017	1.0002875216
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Demerecviridae|subfamily_Markadamsvirinae|genus_Epseptimavirus|species_Salmonella virus S147	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_2731690|subfamily_2732013|genus_2732017|species_2732031	0.5537665325
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Demerecviridae|subfamily_Markadamsvirinae|genus_Epseptimavirus|species_Salmonella virus rokbiter	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_2731690|subfamily_2732013|genus_2732017|species_2846140	0.4462334675
